pais,codigo_iso3,indicador,anio,valor
América Latina y el Caribe,LAC,crecimiento_pib,2014,1.11641330983845
América Latina y el Caribe,LAC,crecimiento_pib,2015,0.0699385356183484
América Latina y el Caribe,LAC,crecimiento_pib,2016,-0.977477793493975
América Latina y el Caribe,LAC,crecimiento_pib,2017,1.58746258230468
América Latina y el Caribe,LAC,crecimiento_pib,2018,1.15229755041935
América Latina y el Caribe,LAC,crecimiento_pib,2019,0.182794027991264
América Latina y el Caribe,LAC,crecimiento_pib,2020,-6.79640022295334
América Latina y el Caribe,LAC,crecimiento_pib,2021,6.85451332312384
América Latina y el Caribe,LAC,crecimiento_pib,2022,3.97595959337909
América Latina y el Caribe,LAC,crecimiento_pib,2023,2.12680994822227
América Latina y el Caribe,LAC,crecimiento_pib,2024,1.99001515816749
Ecuador,ECU,crecimiento_pib,2014,4.22606520388456
Ecuador,ECU,crecimiento_pib,2015,0.119692109287612
Ecuador,ECU,crecimiento_pib,2016,-0.687954245877947
Ecuador,ECU,crecimiento_pib,2017,5.97039880954841
Ecuador,ECU,crecimiento_pib,2018,1.04429460679607
Ecuador,ECU,crecimiento_pib,2019,0.1654044646003
Ecuador,ECU,crecimiento_pib,2020,-9.24509619165865
Ecuador,ECU,crecimiento_pib,2021,9.42189269033631
Ecuador,ECU,crecimiento_pib,2022,5.86842354862311
Ecuador,ECU,crecimiento_pib,2023,1.8328406107788
Ecuador,ECU,crecimiento_pib,2024,-1.94409022506859
Estados Unidos,USA,crecimiento_pib,2014,2.52381981757846
Estados Unidos,USA,crecimiento_pib,2015,2.94555045227337
Estados Unidos,USA,crecimiento_pib,2016,1.81945147909089
Estados Unidos,USA,crecimiento_pib,2017,2.45762230126449
Estados Unidos,USA,crecimiento_pib,2018,2.96650506701943
Estados Unidos,USA,crecimiento_pib,2019,2.58382533052225
Estados Unidos,USA,crecimiento_pib,2020,-2.081375977796
Estados Unidos,USA,crecimiento_pib,2021,6.15202247867526
Estados Unidos,USA,crecimiento_pib,2022,2.52421385073222
Estados Unidos,USA,crecimiento_pib,2023,2.93436322440155
Estados Unidos,USA,crecimiento_pib,2024,2.79318715363841
Panamá,PAN,crecimiento_pib,2014,4.62581375565551
Panamá,PAN,crecimiento_pib,2015,5.26691719595516
Panamá,PAN,crecimiento_pib,2016,4.57196707937275
Panamá,PAN,crecimiento_pib,2017,5.7440594635578
Panamá,PAN,crecimiento_pib,2018,3.91824253321265
Panamá,PAN,crecimiento_pib,2019,3.10295395631086
Panamá,PAN,crecimiento_pib,2020,-17.8211174074602
Panamá,PAN,crecimiento_pib,2021,16.4669992022652
Panamá,PAN,crecimiento_pib,2022,11.0386022908773
Panamá,PAN,crecimiento_pib,2023,7.16634016390665
Panamá,PAN,crecimiento_pib,2024,2.74784148771307
Perú,PER,crecimiento_pib,2014,2.38215737180541
Perú,PER,crecimiento_pib,2015,3.25224477218451
Perú,PER,crecimiento_pib,2016,3.95331871520767
Perú,PER,crecimiento_pib,2017,2.51883544233135
Perú,PER,crecimiento_pib,2018,3.969351341365
Perú,PER,crecimiento_pib,2019,2.24063176875049
Perú,PER,crecimiento_pib,2020,-10.9333065010382
Perú,PER,crecimiento_pib,2021,13.4166456126513
Perú,PER,crecimiento_pib,2022,2.81819976419922
Perú,PER,crecimiento_pib,2023,-0.350699814345759
Perú,PER,crecimiento_pib,2024,3.5152749274832
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2014,3.43816659958601
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2015,3.15783117980915
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2016,2.8217078474766
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2017,3.36296514855608
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2018,3.40250179472038
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2019,2.50460959460401
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2020,2.52663500084706
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2021,4.27166381536798
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2022,8.81109209279587
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2023,5.08677483158112
América Latina y el Caribe,LAC,inflacion_precios_consumidor,2024,3.83540271728533
Ecuador,ECU,inflacion_precios_consumidor,2014,3.58922016616663
Ecuador,ECU,inflacion_precios_consumidor,2015,3.96664623255358
Ecuador,ECU,inflacion_precios_consumidor,2016,1.72826463324533
Ecuador,ECU,inflacion_precios_consumidor,2017,0.417335588666825
Ecuador,ECU,inflacion_precios_consumidor,2018,-0.224103246005552
Ecuador,ECU,inflacion_precios_consumidor,2019,0.266012515466155
Ecuador,ECU,inflacion_precios_consumidor,2020,-0.338872392562139
Ecuador,ECU,inflacion_precios_consumidor,2021,0.133251386096389
Ecuador,ECU,inflacion_precios_consumidor,2022,3.46616972213077
Ecuador,ECU,inflacion_precios_consumidor,2023,2.21568764237058
Ecuador,ECU,inflacion_precios_consumidor,2024,1.54732515615369
Estados Unidos,USA,inflacion_precios_consumidor,2014,1.62222297740817
Estados Unidos,USA,inflacion_precios_consumidor,2015,0.118627135552451
Estados Unidos,USA,inflacion_precios_consumidor,2016,1.26158320570536
Estados Unidos,USA,inflacion_precios_consumidor,2017,2.13011000365961
Estados Unidos,USA,inflacion_precios_consumidor,2018,2.44258329692817
Estados Unidos,USA,inflacion_precios_consumidor,2019,1.81221007526021
Estados Unidos,USA,inflacion_precios_consumidor,2020,1.23358439630629
Estados Unidos,USA,inflacion_precios_consumidor,2021,4.69785886363742
Estados Unidos,USA,inflacion_precios_consumidor,2022,8.00279982052121
Estados Unidos,USA,inflacion_precios_consumidor,2023,4.11633838374488
Estados Unidos,USA,inflacion_precios_consumidor,2024,2.94952520485207
Panamá,PAN,inflacion_precios_consumidor,2014,2.62652699929143
Panamá,PAN,inflacion_precios_consumidor,2015,0.137492058461588
Panamá,PAN,inflacion_precios_consumidor,2016,0.73973402529995
Panamá,PAN,inflacion_precios_consumidor,2017,0.875585918759963
