pais,indicador,n,media,mediana,desviacion_estandar,minimo,maximo
América Latina y el Caribe,crecimiento_pib,11,1.03,1.15,3.35,-6.8,6.85
Ecuador,crecimiento_pib,11,1.52,1.04,4.95,-9.25,9.42
Estados Unidos,crecimiento_pib,11,2.51,2.58,1.88,-2.08,6.15
Panamá,crecimiento_pib,11,4.26,4.63,8.36,-17.82,16.47
Perú,crecimiento_pib,11,2.43,2.82,5.6,-10.93,13.42
América Latina y el Caribe,inflacion_precios_consumidor,11,3.93,3.4,1.79,2.5,8.81
Ecuador,inflacion_precios_consumidor,11,1.52,1.55,1.61,-0.34,3.97
Estados Unidos,inflacion_precios_consumidor,11,2.76,2.13,2.18,0.12,8.0
Panamá,inflacion_precios_consumidor,11,0.9,0.76,1.26,-1.55,2.86
Perú,inflacion_precios_consumidor,11,3.65,3.4,2.07,1.51,8.33
América Latina y el Caribe,tasa_desempleo,11,7.49,7.76,1.36,5.73,10.11
Ecuador,tasa_desempleo,11,4.02,3.71,0.8,3.45,6.12
Estados Unidos,tasa_desempleo,11,4.81,4.36,1.36,3.64,8.06
Panamá,tasa_desempleo,11,7.1,6.26,3.13,4.34,14.66
Perú,tasa_desempleo,11,4.31,3.74,1.21,3.21,7.18
