pais,anio,indicador,numero_indice
América Latina y el Caribe,2014,inflacion_precios_consumidor,100.0
América Latina y el Caribe,2015,inflacion_precios_consumidor,103.16
América Latina y el Caribe,2016,inflacion_precios_consumidor,106.07
América Latina y el Caribe,2017,inflacion_precios_consumidor,109.64
América Latina y el Caribe,2018,inflacion_precios_consumidor,113.37
América Latina y el Caribe,2019,inflacion_precios_consumidor,116.21
América Latina y el Caribe,2020,inflacion_precios_consumidor,119.14
América Latina y el Caribe,2021,inflacion_precios_consumidor,124.23
América Latina y el Caribe,2022,inflacion_precios_consumidor,135.18
América Latina y el Caribe,2023,inflacion_precios_consumidor,142.05
América Latina y el Caribe,2024,inflacion_precios_consumidor,147.5
Ecuador,2014,inflacion_precios_consumidor,100.0
Ecuador,2015,inflacion_precios_consumidor,103.97
Ecuador,2016,inflacion_precios_consumidor,105.76
Ecuador,2017,inflacion_precios_consumidor,106.2
Ecuador,2018,inflacion_precios_consumidor,105.97
Ecuador,2019,inflacion_precios_consumidor,106.25
Ecuador,2020,inflacion_precios_consumidor,105.89
Ecuador,2021,inflacion_precios_consumidor,106.03
Ecuador,2022,inflacion_precios_consumidor,109.7
Ecuador,2023,inflacion_precios_consumidor,112.14
Ecuador,2024,inflacion_precios_consumidor,113.87
Estados Unidos,2014,inflacion_precios_consumidor,100.0
Estados Unidos,2015,inflacion_precios_consumidor,100.12
Estados Unidos,2016,inflacion_precios_consumidor,101.38
Estados Unidos,2017,inflacion_precios_consumidor,103.54
Estados Unidos,2018,inflacion_precios_consumidor,106.07
Estados Unidos,2019,inflacion_precios_consumidor,107.99
Estados Unidos,2020,inflacion_precios_consumidor,109.32
Estados Unidos,2021,inflacion_precios_consumidor,114.46
Estados Unidos,2022,inflacion_precios_consumidor,123.62
Estados Unidos,2023,inflacion_precios_consumidor,128.71
Estados Unidos,2024,inflacion_precios_consumidor,132.51
Panamá,2014,inflacion_precios_consumidor,100.0
Panamá,2015,inflacion_precios_consumidor,100.14
Panamá,2016,inflacion_precios_consumidor,100.88
Panamá,2017,inflacion_precios_consumidor,101.76
Panamá,2018,inflacion_precios_consumidor,102.54
Panamá,2019,inflacion_precios_consumidor,102.17
Panamá,2020,inflacion_precios_consumidor,100.59
Panamá,2021,inflacion_precios_consumidor,102.23
Panamá,2022,inflacion_precios_consumidor,105.15
Panamá,2023,inflacion_precios_consumidor,106.72
Panamá,2024,inflacion_precios_consumidor,107.45
Perú,2014,inflacion_precios_consumidor,100.0
Perú,2015,inflacion_precios_consumidor,103.4
Perú,2016,inflacion_precios_consumidor,107.08
Perú,2017,inflacion_precios_consumidor,110.28
Perú,2018,inflacion_precios_consumidor,111.95
Perú,2019,inflacion_precios_consumidor,114.47
Perú,2020,inflacion_precios_consumidor,116.76
Perú,2021,inflacion_precios_consumidor,121.75
Perú,2022,inflacion_precios_consumidor,131.89
Perú,2023,inflacion_precios_consumidor,140.41
Perú,2024,inflacion_precios_consumidor,143.23
